                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                 1.2336,                 1.4062,                 1.2836,                0.76726,                0.66245,                0.74401,                0.54648,                 1.0817,                0.94666,                 1.1138,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     33,                 1.2633,                 1.3745,                 1.2724,                0.79146,                0.66419,                0.74611,                0.54954,                 1.0807,                0.94378,                 1.1127,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     34,                 1.2601,                 1.3602,                 1.2725,                0.79497,                0.66491,                0.74797,                0.54963,                 1.0802,                0.93789,                  1.112,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     35,                 1.2096,                 1.3839,                 1.2575,                0.80096,                0.65962,                0.75047,                0.55192,                 1.0751,                0.93077,                 1.1103,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     36,                 1.1754,                 1.2981,                 1.2372,                0.80238,                0.66525,                0.75427,                0.55565,                 1.0692,                0.92625,                 1.1083,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     37,                 1.1737,                 1.2917,                 1.2408,                 0.7971,                0.67146,                0.75494,                0.55838,                 1.0613,                0.92177,                 1.1055,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     38,                 1.1895,                 1.2771,                 1.2479,                0.79819,                0.67911,                0.75673,                0.55924,                  1.056,                0.92072,                 1.1027,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     39,                 1.1977,                 1.2849,                 1.2679,                0.79465,                0.68096,                0.75813,                0.55895,                 1.0546,                0.91992,                 1.1015,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     40,                 1.2396,                 1.3384,                  1.267,                0.82416,                0.67637,                0.76415,                0.56379,                  1.054,                0.91714,                 1.1003,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     41,                  1.305,                 1.5087,                 1.3186,                0.76962,                0.68151,                0.76129,                 0.5647,                 1.0492,                0.92028,                 1.0959,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     42,                 1.2494,                 1.4122,                 1.2441,                0.74651,                0.69882,                0.75625,                  0.561,                 1.0537,                0.92442,                  1.096,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     43,                 1.2924,                 1.3849,                  1.295,                0.71061,                0.70664,                0.75635,                0.55735,                 1.0601,                0.92731,                 1.0981,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     44,                 1.2487,                 1.3466,                 1.2643,                0.71894,                0.70507,                0.75493,                0.55576,                 1.0681,                0.92836,                 1.1019,              2.004e-05,              2.004e-05,              2.004e-05
                     45,                 1.2365,                 1.3828,                 1.2348,                0.71635,                0.68815,                0.75344,                0.55341,                 1.0764,                0.93155,                 1.1058,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     46,                 1.2173,                 1.3323,                 1.2466,                0.75033,                  0.678,                 0.7527,                0.55168,                 1.0835,                0.93684,                 1.1096,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     47,                 1.2236,                 1.3323,                 1.2228,                0.75842,                0.66378,                0.75275,                0.54628,                 1.0905,                0.94239,                 1.1126,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     48,                 1.2362,                  1.296,                  1.268,                0.75227,                0.68098,                0.75337,                0.54689,                 1.0881,                0.94169,                 1.1101,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     49,                 1.2361,                 1.3231,                 1.2197,                0.77894,                0.65063,                0.74411,                 0.5436,                 1.0892,                0.94468,                 1.1107,             8.2586e-06,             8.2586e-06,             8.2586e-06
                     50,                 1.2062,                 1.2894,                 1.2475,                 0.7386,                0.68413,                0.75408,                 0.5485,                  1.086,                0.94304,                  1.109,             5.9024e-06,             5.9024e-06,             5.9024e-06
