                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.0907,                 1.0577,                 1.1512,                0.73938,                0.74308,                0.78655,                0.61167,                0.94654,                0.80335,                 1.0379,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     34,                 1.0618,                 1.0246,                 1.1477,                0.75998,                0.73495,                0.78784,                0.61312,                0.94591,                0.79836,                 1.0373,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     35,                 1.0451,                 1.0136,                 1.1623,                  0.767,                0.73231,                0.79034,                 0.6168,                0.94448,                0.79321,                 1.0363,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     36,                0.98704,                0.95537,                 1.1249,                0.77629,                0.72932,                0.79099,                0.62055,                0.94078,                0.78796,                 1.0342,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     37,                0.98327,                0.95561,                 1.1153,                0.78656,                0.72665,                0.79353,                0.62177,                0.93691,                0.78431,                 1.0326,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     38,                 1.0139,                0.98781,                 1.1346,                0.80781,                0.72465,                0.79669,                0.62872,                0.93315,                0.78037,                 1.0308,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     39,                 1.0093,                0.96375,                 1.1423,                0.80245,                0.72815,                0.79915,                0.62782,                0.93079,                0.77686,                 1.0295,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     40,                 1.0444,                 1.0232,                 1.1346,                0.78863,                0.73311,                0.79839,                0.62839,                0.92758,                0.77356,                 1.0284,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     41,                 1.0716,                 1.0898,                 1.1499,                0.80057,                0.73817,                0.80027,                0.62542,                 0.9281,                0.77526,                 1.0257,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     42,                 1.0702,                  1.023,                 1.1191,                0.80536,                0.73234,                0.79974,                0.62364,                0.93212,                0.77666,                 1.0264,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     43,                 1.0536,                0.98721,                 1.1343,                0.80099,                0.72975,                0.79828,                0.62002,                0.93824,                0.77708,                 1.0279,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     44,                 1.0542,                  1.011,                 1.1285,                0.78213,                0.73655,                0.79876,                0.61811,                0.94253,                0.77742,                 1.0296,              2.004e-05,              2.004e-05,              2.004e-05
                     45,                 1.0591,                0.98475,                   1.11,                0.76826,                0.74794,                0.79961,                0.61781,                0.94356,                0.78043,                 1.0305,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     46,                  1.029,                0.97169,                 1.1158,                0.75709,                0.75339,                 0.7998,                0.61496,                0.94506,                0.78126,                  1.031,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     47,                 1.0354,                0.96786,                 1.1054,                0.76193,                0.73912,                0.80001,                0.61358,                0.94819,                0.78286,                 1.0324,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     48,                 1.0344,                0.93332,                  1.126,                0.82864,                0.69905,                0.80213,                 0.6154,                0.94636,                0.78235,                 1.0313,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     49,                 1.0752,                 1.0028,                 1.1177,                0.82929,                0.70147,                0.80192,                0.61142,                0.94648,                0.78357,                 1.0319,             8.2586e-06,             8.2586e-06,             8.2586e-06
                     50,                  1.047,                  1.002,                 1.1506,                0.82562,                0.70389,                0.80202,                 0.6155,                0.94343,                0.78366,                 1.0301,             5.9024e-06,             5.9024e-06,             5.9024e-06
